city,station_name,address,fuel_type,price,source_id,source_ids,source_count,has_price_conflict,min_price,max_price,price_range,price_values,price_source_count,google_maps_url
Rīga,Neste Imanta II,"Kurzemes pr. 15a, Rīga",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Kurzemes+pr.+15a%2C+R%C4%ABga%2C+R%C4%ABga
Jūrmala,Neste Kauguri,"Talsu šoseja 66, Jūrmala",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Talsu+%C5%A1oseja+66%2C+J%C5%ABrmala%2C+J%C5%ABrmala
Tukums,Neste Tukums l,"Kurzemes iela 7a, Tukums",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Kurzemes+iela+7a%2C+Tukums%2C+Tukums
Liepāja,Neste Liepāja,"Raiņa iela 2, Liepāja",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Rai%C5%86a+iela+2%2C+Liep%C4%81ja%2C+Liep%C4%81ja
Jelgava,Neste Jelgava,"Loka maģistrāle 2a, Jelgava",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Loka+ma%C4%A3istr%C4%81le+2a%2C+Jelgava%2C+Jelgava
Jēkabpils,Neste Jēkabpils l,"Vienības iela 1e, Jēkabpils",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Vien%C4%ABbas+iela+1e%2C+J%C4%93kabpils%2C+J%C4%93kabpils
Ventspils,Neste Ventspils,"Lāčplēša iela 1 , Ventspils",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=L%C4%81%C4%8Dpl%C4%93%C5%A1a+iela+1+%2C+Ventspils%2C+Ventspils
Valmiera,Neste Valmiera I,"Rīgas iela 76, Valmiera",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=R%C4%ABgas+iela+76%2C+Valmiera%2C+Valmiera
Ogre,Neste Ogre,"Rīgas iela 11a, Ogre",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=R%C4%ABgas+iela+11a%2C+Ogre%2C+Ogre
Rēzekne,Neste Rēzekne DP,"Atbrīvošanas aleja 167c, Rēzekne",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Atbr%C4%ABvo%C5%A1anas+aleja+167c%2C+R%C4%93zekne%2C+R%C4%93zekne
Cēsis,Neste Cēsis II,"Jāņa Poruka 49, Cēsis",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=J%C4%81%C5%86a+Poruka+49%2C+C%C4%93sis%2C+C%C4%93sis
Mārupe,Neste Mārupe,"Upesgrīvas iela 1, Mārupe",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Upesgr%C4%ABvas+iela+1%2C+M%C4%81rupe%2C+M%C4%81rupe
Vecumnieki,Neste Vecumnieki,"Rīgas iela 1, Vecumnieki",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=R%C4%ABgas+iela+1%2C+Vecumnieki%2C+Vecumnieki
Ķekava,Neste Ķekava,"Rīgas iela 24, Ķekava",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=R%C4%ABgas+iela+24%2C+%C4%B6ekava%2C+%C4%B6ekava
Ādaži,Neste Ādaži,"Rīgas gatve 5a, Ādaži",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=R%C4%ABgas+gatve+5a%2C+%C4%80da%C5%BEi%2C+%C4%80da%C5%BEi
Salaspils,Neste Salaspils,"Zviedru iela 1c, Salaspils",petrol_95,1.797,neste_live,neste_live,1,False,1.797,1.797,0.0,1.797,1,https://www.google.com/maps/search/?api=1&query=Zviedru+iela+1c%2C+Salaspils%2C+Salaspils
